Date,Reach,Mean,Std
2002-10-05 00:00:00,1,43.09023955,8.538845607142855
2002-10-13 00:00:00,1,38.47036787,4.411844224489795
2002-10-20 00:00:00,1,42.81204454,8.410427744897959
2002-11-21 00:00:00,1,49.60777502,14.464742581632652
2002-11-22 00:00:00,1,47.93926977,13.11224493367347
2002-12-15 00:00:00,1,61.33585644,21.035390204081637
2002-12-31 00:00:00,1,46.01732379,10.900849698979592
2003-01-08 00:00:00,1,64.97285114,23.16517424489796
2003-03-21 00:00:00,1,46.99988274,11.598121755102042
2003-04-14 00:00:00,1,52.89065141,15.396955443877552
2003-04-22 00:00:00,1,57.99627998,18.076645367346938
2003-09-05 00:00:00,1,97.58887913,37.21478112244898
2003-11-24 00:00:00,1,109.1511425,40.027898096938785
2004-03-08 00:00:00,1,154.4839956,47.344187862244894
2004-03-31 00:00:00,1,157.7033812,49.40502630612246
2004-04-16 00:00:00,1,94.38703232,32.896859489795915
2004-09-07 00:00:00,1,89.40812447,34.084992688775515
2004-10-09 00:00:00,1,78.10855576,28.625444923469388
2005-02-14 00:00:00,1,193.4432027,66.35190390306123
2005-03-02 00:00:00,1,222.9840855,83.58514535714285
2005-04-03 00:00:00,1,73.09399112,28.28130192346939
2005-06-15 00:00:00,1,78.03281427,30.813999020408165
2005-06-22 00:00:00,1,70.37707988,26.717201311224493
2005-07-17 00:00:00,1,52.47425288,15.247977377551024
2005-07-24 00:00:00,1,54.37113547,16.21451456122449
2005-08-09 00:00:00,1,47.70706322,11.922047642857144
2005-08-18 00:00:00,1,55.27986612,17.52397132653061
2005-09-10 00:00:00,1,54.97298614,16.976534443877554
2005-10-28 00:00:00,1,72.93647208,27.41654800510204
2006-02-01 00:00:00,1,65.33306813,23.462177923469387
2006-04-22 00:00:00,1,47.18674585,12.089863663265305
2006-06-09 00:00:00,1,43.1970396,8.886532341836737
2006-08-12 00:00:00,1,39.93736258,5.688589198979594
2006-10-08 00:00:00,1,46.5138306,11.793684132653063
2006-10-31 00:00:00,1,49.09247249,13.832867520408163
2006-11-09 00:00:00,1,44.02390033,9.357674336734693
2007-02-20 00:00:00,1,281.2382024,66.99169030612245
2007-03-08 00:00:00,1,116.7862632,45.906248270408156
2007-04-02 00:00:00,1,40.14310484,5.778212622448979
2007-04-18 00:00:00,1,73.49984451,28.40484741836735
2007-05-11 00:00:00,1,72.66363438,28.04887584183674
2007-07-14 00:00:00,1,88.36524578,33.685012862244896
2007-08-15 00:00:00,1,75.06877449,27.45047765816327
2007-08-31 00:00:00,1,59.17787557,20.01853709693878
2008-03-10 00:00:00,1,175.1037894,64.9089653367347
2008-07-16 00:00:00,1,82.04605557,31.641360107142855
2008-09-18 00:00:00,1,57.36148224,19.05993107142857
2008-09-27 00:00:00,1,72.08623735,26.735763780612242
2008-10-04 00:00:00,1,63.1726148,21.81139026530612
2008-10-29 00:00:00,1,71.22768924,27.038539806122447
2008-11-21 00:00:00,1,112.7044141,46.126876964285714
2009-03-29 00:00:00,1,134.8890558,50.60420761734694
2009-04-14 00:00:00,1,74.70396101,28.052165423469383
2009-06-01 00:00:00,1,65.77766528,24.701813408163268
2009-09-30 00:00:00,1,54.05020282,16.27302392857143
2009-10-07 00:00:00,1,86.01379681,30.674441637755102
2009-11-01 00:00:00,1,156.8881503,50.64692469897959
2010-04-10 00:00:00,1,142.8623101,49.566004081632656
2010-04-17 00:00:00,1,115.6180787,40.08452207653061
2010-05-03 00:00:00,1,87.62897981,34.41073823979592
2010-06-04 00:00:00,1,111.216015,40.18555531632653
2010-06-29 00:00:00,1,63.04671633,21.04285122959184
2010-07-22 00:00:00,1,97.62520957,35.372693765306124
2010-08-23 00:00:00,1,103.7426639,38.47673579081633
2010-09-24 00:00:00,1,55.94071658,17.04430771428571
2010-11-27 00:00:00,1,68.82067598,25.269806290816323
2011-04-29 00:00:00,1,62.57542065,22.63154030612245
2011-09-04 00:00:00,1,41.96073775,7.64506125
2011-09-11 00:00:00,1,45.78508816,11.229493821428571
2011-09-20 00:00:00,1,56.76471359,19.019055811224494
2011-09-27 00:00:00,1,60.208933,20.513724000000003
2011-10-13 00:00:00,1,46.13460347,10.913709637755103
2011-10-29 00:00:00,1,45.61450051,10.424810984693877
2013-06-12 00:00:00,1,55.09105,17.33760491836735
2013-06-28 00:00:00,1,47.93461646,12.247416515306124
2013-11-19 00:00:00,1,45.1693583,10.144484331632656
2002-10-15 00:00:00,2,37.20421134,10.341903954081634
2002-11-07 00:00:00,2,26.99463067,6.981998591836735
2002-11-23 00:00:00,2,154.8819979,42.05115677040816
2002-12-01 00:00:00,2,28.54431028,7.546711418367345
2003-03-23 00:00:00,2,93.27571178,26.603649352040815
2003-09-23 00:00:00,2,27.76662357,7.129167545918368
2003-11-19 00:00:00,2,116.3093249,33.70257721428572
2004-01-13 00:00:00,2,453.8161421,116.8576017857143
2004-04-02 00:00:00,2,237.4250625,67.66082637755102
2004-12-14 00:00:00,2,668.0527838,110.33749551020409
2005-03-20 00:00:00,2,216.1502107,54.03345744897959
2005-06-24 00:00:00,2,111.4539669,31.04809268877551
2005-07-10 00:00:00,2,100.0030582,29.068976744897956
2005-09-05 00:00:00,2,72.94434102,21.008823489795923
2005-09-21 00:00:00,2,126.0037485,34.60592959693878
2006-04-08 00:00:00,2,59.61445146,17.33305781122449
2006-07-13 00:00:00,2,121.1476445,33.23349435204082
2006-07-29 00:00:00,2,42.05012506,11.829990954081634
2006-09-15 00:00:00,2,36.47517638,9.840161857142858
2006-12-13 00:00:00,2,249.9061035,69.61134081632653
